Key,Type,Desc,English,Polish,Spanish,Portuguese
GameStart/StartCountry,Text,,Country,Kraj,País,País
GameStart/Syria,Text,,Syria,Syria,Siria,
GameStart/Tax,Text,,Tax Rate:,Wysokość Podatków:,Tasa de impuesto:,Taxa de imposto:
GameStart/Turkey,Text,,Turkey,Turcja,Turquia,
GameStart/UK,Text,,UK,Wielka Brytania,Reino Unido,
GameStart/USA,Text,,USA,USA,Estados Unidos,
GameStart/Uruguay,Text,,Uruguay,Urugwaj,Uruguay,
GameStart/YerbaMatePopularity,Text,,Yerba Mate Popularity:,Popularność Yerba Mate:,Popularidad de la Yerba Mate:,
GameStart/YerbaMateSmokeFire,Text,,Fire,Ogień,Fuego,Fogo
GameStart/YerbaMateSmokeHotAir,Text,,Hot Air,Gorące Powietrze,Aire caliente,
GameStart/YerbaPrepareSpecialization,Text,,Preparation — Specialization,Przyrządzanie — Specjalizacja,Preparación  — Especialización,
GameStart/YerbaSmokeSpecialization,Text,,Drying — Specialization,Suszenie — Specjalizacja,Secado  — Especialización,
Jokes/EpicRateJoke,Text,Don't touch style tag,"Something amazing, <style=Important>I JOKED!</style>","Coś niesamowitego, <style=Important>ŻARTOWAŁEM!</style>","Algo sorprendente, <style=Important>Bromeaba!</style>",
Jokes/NeverWinNumber,Text,,"Your company has gone bankrupt, but you have one more chance, the system drew a number from 0 to 99, if you will guess this number, you will be able to return to the game.","Twoja firma zbankrutowała, ale masz jeszcze jedną szansę, system wylosował liczbę od 0 do 99, jeśli zgadniesz tę liczbę, to będziesz mógł powrócić do gry","Tu compania ha quebrado, pero tienes otra oportunidad. El sistema eligio un numero del 0 al 99, si lo adivinas, podras volver al juego.",
Jokes/Quote0,Text,,“It is Better to win than lose” - DonislawDev,„Lepiej wygrać niż przegrać” - DonislawDev,„Es mejor ganar que perder” - DonislawDev,
Jokes/Quote1,Text,,“Creating the best yerba is the key to winning” - DonislawDev,„Kluczem do wygrania jest tworzenie dobrych yerb” - DonislawDev,„Crear la mejor yerba es la clave para ganar” - DonislawDev,
Jokes/Quote2,Text,,“May Wojciech's feet bless you” - DonislawDev,„Niech stopy Wojciecha Cię błogosławią” - DonislawDev,„Que los pies de Wojciech te bendigan” - DonislawDev,
Jokes/Quote3,Text,,“I wish you a nice day and good yerba” - DonislawDev,„Życzę Ci miłego dnia i dobrej yerby” - DonislawDev,„Te deseo un buen dia y buena yerba” - DonislawDev,
Jokes/Quote4,Text,,“Calling yerba tea is like comparing this game to Witcher 3” - DonislawDev,"„Nazywanie yerby herbatą, jest jak porównywanie tej gry do Wiedzmuna 3” - DonislawDev",„Decirle té a la yerba es como comparar este juego con Wrticher 3” - DonislawDev,
Jokes/Quote5,Text,,“Each sold copy of this game is another pack of yerba for the developer” - DonislawDev,„Każda sprzedana kopia tej gry to kolejna paczka yerby dla developera” - DonislawDev,„Cada copia vendida de este juego es otro paquete de yerba para el desarrollador” - DonislawDev,
Jokes/Quote6,Text,,“Only 1/1000000 players can see this text because all other players are not a failure like you” - DonislawDev,"„Tylko 1/1000000 graczy może zobaczyć ten tekst, ponieważ wszyscy inni gracze nie są porażką jak ty” - DonislawDev",„Solo 1 de cada 1000000 jugadores pueden ver este texto porque los otros jugadores no son fracasos como tú” - DonislawDev,
Settings/BugReportName,Text,,Report Bug,Zgłoś Błąd,Reporta un Problema,
Settings/Contact,Text,,Contact,Kontakt,Contacto,
Settings/E-mail,Text,,"Got an idea what I can add/change in-game, got any business question? Got a question about the game? Write it here.
*If you wish to report a bug, please use the ""Report Bug"" button in-game (settings panel), don't use this e-mail.","Masz pomysł, co mogę dodać/zmienić w grze? Masz jakieś pytanie biznesowe? Masz pytanie związane z grą? Napisz je tutaj.
* Jeśli chcesz zgłosić błąd, użyj przycisku „Zgłoś błąd”, który znajduje się w grze (panel ustawień), nie zgłaszaj błędów na ten e-mail.","¿Tienes alguna idea de que puedo agregar/cambiar en el juego, tienes alguna pregunta sobre negocios? ¿Tienes alguna pregunta sobre el juego? Escribela aquí.",
Settings/FontType,Text,,Font Type,Rodzaj Czcionki,,
Settings/FullScreen,Text,,Full Screen,Pełny Ekran,Pantalla Completa,
Settings/GuiAnimation,Text,,GUI Animation,Animacja GUI,Animación de la interfaz,
Settings/GuiAnimationFillLeft,Text,,Fill Left,Wypełnianie Lewo,Rellenar izquierda,
Settings/GuiAnimationFillRadial,Text,,Fill Radial,Wypełnianie Radialnie,Rellenar radial,
Settings/GuiAnimationNone,Text,,None,Brak,Ninguno,
Settings/GuiAnimationRotate,Text,,Rotate,Obracanie,Rotar,
Settings/GuiAnimationScale,Text,,Scale,Skalowanie,Escala,
Settings/GuiClickToClose,Text,,GUI Click = Close,GUI Klik = Zamknij,Click en la Interfaz = Cerrar,
Settings/GuiFade,Text,,GUI Fade,GUI Zanikanie,Desvanecer interfaz,
Settings/GuiScale,Text,,GUI Scale,GUI Skalowanie,Escala de Interfaz,
Settings/HighContrast,Text,,High Contrast,Wysoki Kontrast,Alto Contraste,
Settings/HudScale,Text,,HUD Scale,HUD Skalowanie,Escala de HUD,
Settings/Language,Text,,Game Language,Język Gry,Idioma del juego,
Settings/LanguageEnglish,Text,,English,Angielski,Inglés,Inglês
Settings/LanguagePolish,Text,,Polish,Polski,Polaco,Polonês
Settings/LanguagePortuguese,Text,,Portuguese,Portugalski,Portugués,Português
Settings/LanguageSpanish,Text,,Spanish,Hiszpański,Español,Espanhol
Settings/LowerGraphic,Text,,Lower Graphic,Niższa Grafika,Graficos Bajos,
Settings/Mods,Text,,Mods,Mody,Mods,
Settings/Music,Text,,Music,Muzyka,Música,Música
Settings/Music0,Text,X DON'T TRANSLATE IT!!!,Serwerowe Tango,Serwerowe Tango,Serwerowe Tango,Serwerowe Tango
Settings/Music1,Text,X DON'T TRANSLATE IT!!!,Stópki,Stópki,Stópki,Stópki
Settings/Music2,Text,X DON'T TRANSLATE IT!!!,LSD,LSD,LSD,LSD
Settings/Music3,Text,X DON'T TRANSLATE IT!!!,Masakra Bosej Stopy,Masakra Bosej Stopy,Masakra Bosej Stopy,Masakra Bosej Stopy
Settings/Music4,Text,X DON'T TRANSLATE IT!!!,<s>Herbata</s> Mate,<s>Herbata</s> Mate,<s>Herbata</s> Mate,<s>Herbata</s> Mate
Settings/Music5,Text,X DON'T TRANSLATE IT!!!,50 twarzy Yerby,50 twarzy Yerby,50 twarzy Yerby,50 twarzy Yerby
Settings/Music6,Text,X DON'T TRANSLATE IT!!!,Spadające matero,Spadające matero,Spadaj?ce matero,Spadające matero
Settings/Music7,Text,X DON'T TRANSLATE IT!!!,Dubre Ziele,Dubre Ziele,Dubre Ziele,Dubre Ziele
Settings/Music8,Text,X DON'T TRANSLATE IT!!!,Nie mam pomysłu,Nie mam pomysłu,Nie mam pomys?u,Nie mam pomysłu
Settings/MusicTrack,Text,,Music Track,Ścieżka Dźwiękowa,Pista de musica,
Settings/NewText,Text,,New Text,Nowy Tekst,Nuevo Texto,Novo Texto
Settings/OpenAnalitycs,Text,,Open Analytics,,Abrir Analiticas,
Settings/PrivacyPolicy,Text,,Privacy Policy,Polityka Prywatności,Politica de Privacidad,
Settings/RandomMusic,Text,,Random,Losowa,Aleatorio,
Settings/Resolution,Text,,Resolution,Rozdzielczość,Resolución,
Settings/Sfx,Text,,SFX,SFX,SFX,
Settings/TextScale,Text,,Text Scale,Skalowanie Tekstu,Escala de Texto,
Settings/VSync,Text,,VSync,VSync,VSync,
ToolTips/CEOPersonalityHelpShort,Text,,"<style=Important>Talented</style> = bigger CEO statistics for start. 
<style=Important>Hard-Working</style> = smaller statistics for start, but faster CEO progress.","<style=Important>Utalentowany</style> = większe statystyki szefa na start.
<style=Important>Ciężko Pracujący</style> = mniejsze statystyki na start, ale szybszy rozwój szefa.",<style=Important>Talentoso</style> = estadisticas de CEO más altas para el inicio.,
ToolTips/CheatModeHelpShort,Text,,"Cheat mode provides a huge amount of money. Medals and rankings do not work, <style=Important>if you want to play a normal game, do not check this box.</style>","Tryb oszustwa zapewnia ogromną ilość pieniędzy, nie działają medale i rankingi, <style=Important>jeśli chcesz zagrać w normalną grę, nie zaznaczaj tego pola.</style>","Cheat mode proporciona una gran cantidad de dinero. Las medallas y clasificaciones no funcionan, <style=Important>si quieres jugar un juego normal, no marques este casillero.</style>",
ToolTips/ClickForMore,Text,Don't touch style tag<style>,<style=Important>Click For More</style>,<style=Important>Kliknij Po Więcej</style>,<style=Important>Haz click para más</style>,
ToolTips/CountryHelpLong,Text,Don't touch <style> tag,"<style=Important>Higher taxes</style> means lower profits, a <style=Important>higher level of education</style> provides easier access to better employees. <style=Important>Higher employee salaries</style> mean higher company maintenance costs, <style=Important>higher yerba popularity</style> makes it easier to sell yerba in your country. In addition, selling yerba in the country where your company is located is free and provides higher profits.","<style=Important>Wyższe podatki</style> to mniejsze zyski, <style=Important>wyższy poziom edukacji</style> zapewnia łatwiejszy dostęp do lepszych pracowników. <style=Important>Wyższe pensje pracowników</style> to wyższe koszty utrzymania firmy, <style=Important>wyższa popularność yerby</style> to większa sprzedaż yerby w danym kraju. Dodatkowo sprzedaż yerby w kraju, w którym znajduje się twoja firma, jest darmowa, zapewnia większe zyski.","<style=Important>Mayores impuestos</style> significan menores ganancias, un <style=Important>mayor nivel de educación</style> proporciona acceso a mejores trabajadores. <style=Important>Salarios mas altos</style> significan mayores costos de mantenimiento para la compania, <style=Important>mayor popularidad de yerba</style> hace que sea más facil vender yerba en tu país. Es más, vender yerba en el país donde esta localizada tu compania es gratis  y da mayores beneficios.",
ToolTips/CountryHelpShort,Text,,"Countries have their strengths and weaknesses, some countries are better for start and others are worse.","Kraje mają swoje mocne i słabe strony, jedne kraje są lepsze na start, a inne gorsze.","Los paises tienen sus virtudes y defectos, algunos paises son mejores para empezar y otros peores.",
ToolTips/LoanHelpLong,Text,,"You can take loans from many lenders at once. However, you must remember that a loan from one lender reduces the maximum loan amount from another lender (there is one common limit). You can lower the loan monthly rate by repaying part of the loan. Minimum loan is 5000.","Możesz brać pożyczki u wielu pożyczkodawców naraz. Musisz jednakże pamiętać o tym, iż pożyczka u jednego pożyczkodawcy zmniejsza maksymalną kwotę pożyczki u innego pożyczkodawcy (jest jeden wspólny limit). Poprzez spłacenie części zadłużenia możesz zmniejszyć ratę miesięczną kredytu. Minimalna kwota pożyczki to 5000.",,
ToolTips/LoanHelpShort,Text,,"A loan is a good way to grow your business, click on a time graphic (lender) and take the loan. Remember that lenders have different interest rates, amounts of money to borrow, and more.","Pożyczka jest dobrym sposobem na rozwój firmy. Kliknij jakąś grafikę czasu (pożyczkodawca) i pożyczaj. Pamiętaj, iż pożyczkodawcy mają różne oprocentowanie, kwoty pieniędzy do pożyczenia i wiele więcej.",,
ToolTips/PolandTaxJoke,Text,,"We won't tax everything, but it is worth trying!","Wszystkiego nie opodatkujemy, ale próbować WARTO!","No vamos a ponerle impuestos a todo, ¡pero vale la pena intentar!",
ToolTips/SettingsHelpLong,Text,,"You are changing the scaling settings at your own risk, not every scale will work at your resolution. When it comes to panel scaling, this option works best with animations off, it requires a game restart. Also, the game has a ""High Contrast"" mode, which requires a game restart. If you want to change the game font, then after selecting a new font type, you have to restart the game, also not every font will work with your language, the font will change only in a few places (does not change everywhere).","Ustawienia skalowania zmieniasz na własną odpowiedzialność, nie każda skala będzie działała przy twojej rozdzielczości, Jeśli chodzi o skalowanie paneli, to ta opcja najlepiej działa z wyłączonymi animacjami, wymaga restartu gry. Oprócz tego gra posiada tryb ""Wysokiego kontrastu"", który też wymaga restartu gry. Jeśli będziesz chciał zmienić czcionkę, to po wybraniu nowej czcionki musisz zrestartować grę, dodatkowo nie każda czcionka będzie działa z twoim językiem, czcionka zmienia się tylko w paru miejscach (nie zmienia się wszędzie).",,
ToolTips/SettingsHelpShort,Text,,"This panel allows you to change the game settings, if you want to change the scaling settings, there are a few important things to remember.","Ten panel pozwala na zmianę ustawień gry, jeśli będziesz chciał zmienić ustawienia skalowania, to musisz pamiętać o paru ważnych sprawach.",,
ToolTips/YerbaPrepareSpecializationHelpShort,Text,,"In the game you can prepare yerba <style=Important>cold and warm</style>, you can choose your specialization <style=Important>(more experience at the start), you can still prepare yerba with a different specialization.</style>","W grze można przyrządzać yerbe na <style=Important>zimno i ciepło</style>, możesz wybrać swoja specjalizacje <style=Important>(większe doświadczenie na start), nadal można przyrządzać yerby o innej specjalizacji.</style>","En el juego puedes preparar yerba <style=Important>fria y calida</style>, puedes elegir tu especialización <style=Important>(mas experiencia al inicio), igualmente puedes prepara yerba con una distinta especialización.</style>",
ToolTips/YerbaPriceHelpLong,Text,,"The price affects the yerba rating. You can also sell yerba with minimal profits (budget dedication, market dominance). Also, remember that consumers can pay more for premium yerba and less for low-quality yerba. Also, additives such as caviar, gold, diamonds, and others, make yerba more ""premium"".","Cena wpływa na ocenę yerby. Możesz też sprzedawać yerbe przy minimalnych zyskach (poświęcenie budżetu, dominacja rynku). Pamiętaj też, że konsumenci są w stanie zapłacić więcej za yerbe premium, a mniej za yerbe niskiej jakości. Dodatkowo dodatki typu: kawior, złoto, diamenty i inne czynią yerbe bardziej ""premium"".","El precio afecta el puntaje de la yerba. Tambien puedes vender yerba con minima ganancia (dedicación de presupuesto, dominación del mercado). Tambien, recuerda que el consumidor paga más por yerba premium y menos por yerba de baja calidad. Tambien, aditivos como caviar, oro, diamantes, y otros, hacen a la yerba más ""premium"".",
ToolTips/YerbaPriceHelpShort,Text,,"The price cannot be too high or too low, adjust the price of the product. Besides, the price must be within the range on the left side (next to the field for entering the price).","Cena nie może być za wysoka ani za niska, dopasuj cenę do produktu. Dodatkowo cena musi mieścić się w widełkach po lewej stronie (obok pola na wpisanie ceny).","El precio no puede ser muy bajo o muy alto, ajusta el precio del producto. Aparte, el precio debe estar en el rango del lado izquierdo (al lado del campo para introducir el precio).",
ToolTips/YerbaSmokeSpecializationHelpShort,Text,,"In the game you can dry yerba with <style=Important>fire or hot air</style>, you can choose your specialization <style=Important>(more experience at the start), you can still use a different drying method than specialization.</style>","W grze można suszyć yerbe za pomocą <style=Important>ognia lub gorącego powietrza</style>, możesz wybrać swoją specjalizację <style=Important>(większe doświadczenie na start), nadal można korzystać z innej metody suszenia niż specjalizacja.</style>","En el juego puedes secar yerba con <style=Important>fuego o aire caliente</style>, puedes elegir tu especialización <style=Important>(más experiencia al inicio), igualmente puedes utilizar un metodo de secado distinto al de tu especialización.</style>",
YerbaAdditive/0Additive,Text,,Nothing,Nic,Nada,Nada
YerbaAdditive/100Additive,Text,,Myosotis,Niezapominajka,Nomeolvides,
YerbaAdditive/101Additive,Text,,Basil,Bazylia,Albahaca,
YerbaAdditive/102Additive,Text,,Olive,Oliwka,Oliva,
YerbaAdditive/103Additive,Text,,Almond,Migdał,Almendra,
YerbaAdditive/104Additive,Text,,Peanut,Orzech Arachidowy,Maní,
YerbaAdditive/105Additive,Text,,Brazil Nut,Orzech Brazylijski,Nuez de Brasil,
YerbaAdditive/106Additive,Text,,Macadamia,Makadamia,Nuez de Macadamia,
YerbaAdditive/107Additive,Text,,Acorn,Żołądź,Bellota,
YerbaAdditive/108Additive,Text,,Cheese,Ser,Queso,
YerbaAdditive/109Additive,Text,,Blue Cheese,Ser Pleśniowy,Queso Azul,
YerbaAdditive/10Additive,Text,,Lime,Limonka,Lima,
YerbaAdditive/110Additive,Text,,Bacon,Boczek,Tocino,
YerbaAdditive/111Additive,Text,,Butter,Masło,Manteca,
YerbaAdditive/112Additive,Text,,Chestnut,Kasztan,Castaña,
YerbaAdditive/113Additive,Text,,Cookie,Ciastko,Galletita,
YerbaAdditive/114Additive,Text,,Ice Cream,Lody,Helado,
YerbaAdditive/115Additive,Text,,Jelly,Galaretka,Gelatina,
YerbaAdditive/116Additive,Text,,Oyster,Ostryga,Ostra,
YerbaAdditive/117Additive,Text,,Spinach,Szpinak,Espinaca,
YerbaAdditive/118Additive,Text,,Sushi,Sushi,Sushi,
YerbaAdditive/119Additive,Text,,Pizza,Pizza,Pizza,
YerbaAdditive/11Additive,Text,,Plum,Śliwka,Ciruela,
YerbaAdditive/120Additive,Text,,Caviar,Kawior,Caviar,
YerbaAdditive/121Additive,Text,,Cappuccino,Cappuccino,Cappuccino,
YerbaAdditive/122Additive,Text,,Donair,Kebab,Donair,
YerbaAdditive/123Additive,Text,,Fugu Fish,Ryba Fugu,Pez Globo,
YerbaAdditive/124Additive,Text,,Rice,Ryż,Arroz,
YerbaAdditive/125Additive,Text,,Rosemary,Rozmaryn,Romero,
YerbaAdditive/126Additive,Text,,Beet,Burak,Remolacha,
YerbaAdditive/127Additive,Text,,Brussels Sprouts,Brukselka,Repollitos de Brucelas,
YerbaAdditive/128Additive,Text,,Cherry Tomato,Pomidor Koktaljowy,Tomate Cherry,
YerbaAdditive/129Additive,Text,,Silver,Srebro,Plata,
YerbaAdditive/12Additive,Text,,Watermelon,Arbuz,Sandia,
YerbaAdditive/130Additive,Text,,Gold,Złoto,Oro,
YerbaAdditive/131Additive,Text,,Diamond,Diament,Diamante,
YerbaAdditive/132Additive,Text,,Uranium Ore,Ruda Uranu,Mineral de Uranio,
YerbaAdditive/133Additive,Text,,Corn,Kukurydza,Maíz,
YerbaAdditive/134Additive,Text,,Donut,Pączek,Dona,
YerbaAdditive/135Additive,Text,,Fuchsia,Fuksja,Fucsia,
YerbaAdditive/136Additive,Text,,Iris,Irys,Lirio,
YerbaAdditive/137Additive,Text,,Lotus,Lotos,Loto,
YerbaAdditive/138Additive,Text,,PanCake,Naleśnik,Panqueque,
YerbaAdditive/139Additive,Text,,Chamomile,Rumianek,Manzanilla,
YerbaAdditive/13Additive,Text,,Red Grape,Czerwone Winogrono,Uva Roja,
YerbaAdditive/140Additive,Text,,Lapacho,Lapacho,Lapacho,
YerbaAdditive/141Additive,Text,,Catuaba,Catuaba,Catuaba,
YerbaAdditive/142Additive,Text,,Ilex Guayusa,Ilex Guayusa,Guayusa,
YerbaAdditive/143Additive,Text,,Boldo,Boldo,Boldo,
YerbaAdditive/144Additive,Text,,Cedron,Cedron,,
YerbaAdditive/145Additive,Text,,Burrito,Burrito,,
YerbaAdditive/146Additive,Text,,Boldo,Boldo,,
YerbaAdditive/147Additive,Text,,Maca Root,Korzeń Maca,,
YerbaAdditive/14Additive,Text,,Dark Grape,Ciemne Winogrono,Uva Negra,
YerbaAdditive/15Additive,Text,,Green Grape,Zielone Winogrono,Uva Verde,
YerbaAdditive/16Additive,Text,,Kiwi,Kiwi,Kiwi,
YerbaAdditive/17Additive,Text,,Apricot,Morela,Damasco,
YerbaAdditive/18Additive,Text,,Peach,Brzoskwinia,Durazno,
YerbaAdditive/19Additive,Text,,UFO Peach,UFO Brzoskwinia,Durazano Paraguayo,
YerbaAdditive/1Additive,Text,,Red Apple,Czerwone Jabłko,Manzana Roja,
YerbaAdditive/20Additive,Text,,Raspberry,Malina,Frambuesa,
YerbaAdditive/21Additive,Text,,Strawberry,Truskawka,Frutilla,
YerbaAdditive/22Additive,Text,,Cherry,Wiśnia,Cereza,
YerbaAdditive/23Additive,Text,,Blueberry,Borówka Amerykańska,Arandano,
YerbaAdditive/24Additive,Text,,Blackberry,Jeżyna,Mora,
YerbaAdditive/25Additive,Text,,Wild Strawberry,Poziomka,Frutilla Silvestre,
YerbaAdditive/26Additive,Text,,Red Currant,Czerwona Porzeczka,Grosella,
YerbaAdditive/27Additive,Text,,Date,Daktyl,Datil,
YerbaAdditive/28Additive,Text,,Gooseberry,Agrest,Uva Crispa,
YerbaAdditive/29Additive,Text,,Avocado,Awokado,Aguacate,
YerbaAdditive/2Additive,Text,,Pear,Gruszka,Pera,
YerbaAdditive/30Additive,Text,,Coconut,Kokos,Coco,
YerbaAdditive/31Additive,Text,,Mango,Mango,Mango,
YerbaAdditive/32Additive,Text,,Pineapple,Ananas,Anana,
YerbaAdditive/33Additive,Text,,Pomelo,Pomelo,Pomelo,
YerbaAdditive/34Additive,Text,,Papaya,Papaja,Papaya,
YerbaAdditive/35Additive,Text,,Melon,Melon,Melón,
YerbaAdditive/36Additive,Text,,Quince,Pigwa,Mebrillo,
YerbaAdditive/37Additive,Text,,Granat,Granat,Granada,
YerbaAdditive/38Additive,Text,,Fig,Figa,Higo,
YerbaAdditive/39Additive,Text,,Lychee,Liczi,Lichi,
YerbaAdditive/3Additive,Text,,Green Apple,Zielone Jabłko,Manzana Verde,
YerbaAdditive/40Additive,Text,,Rhubarb,Rabarbar,Ruibarbo,
YerbaAdditive/41Additive,Text,,Barberry,Berberys,Barberi,
YerbaAdditive/42Additive,Text,,Rowanberry,Jarzębina,Azarollo,
YerbaAdditive/43Additive,Text,,Dog Rose,Dzika Róża,Rosa Canina,
YerbaAdditive/44Additive,Text,,Pitahaya,Pitaja,Fruta del Dragón,
YerbaAdditive/45Additive,Text,,Carambola,Karambola,Carambola,
YerbaAdditive/46Additive,Text,,Durian,Durian,Durián,
YerbaAdditive/47Additive,Text,,Rambutan,Rambutan,Rambután,
YerbaAdditive/48Additive,Text,,Annona,Annona,Annona,
YerbaAdditive/49Additive,Text,,Persimmon,Kaki (Persymona),Caqui,
YerbaAdditive/4Additive,Text,,Yellow Pear,Żółta Gruszka,Pera Amarilla,
YerbaAdditive/50Additive,Text,,Passion Fruit,Marakuja,Fruta de la Pasión,
YerbaAdditive/51Additive,Text,,Pepino Melon,Melon Pepino,Melon de Arbol,
YerbaAdditive/52Additive,Text,,Horned Melon,Ogórek Kiwano,Kiwano,
YerbaAdditive/53Additive,Text,,Kumquat,Kumkwat,Naranjo Enano,
YerbaAdditive/54Additive,Text,,Mangosteen,Mangostan,Mangostán,
YerbaAdditive/55Additive,Text,,Tamarillo,Tamarillo,Tamarillo,
YerbaAdditive/56Additive,Text,,Snake Fruit,Salak (Wężowy Owoc),Salak,
YerbaAdditive/57Additive,Text,,Physalis,Physalis,Uchuva,
YerbaAdditive/58Additive,Text,,Noni,Noni (Morwa Indyjska),Noni,
YerbaAdditive/59Additive,Text,,Jack Fruit,Dżakfrut,Yaca,
YerbaAdditive/5Additive,Text,,Banana,Banan,Banana,
YerbaAdditive/60Additive,Text,,Chive,Szczypiorek,Cebollín,
YerbaAdditive/61Additive,Text,,Carrot,Marchewka,Zanahoria,
YerbaAdditive/62Additive,Text,,Pumpkin,Dynia,Zapallo,
YerbaAdditive/63Additive,Text,,Onion,Cebula,Cebolla,
YerbaAdditive/64Additive,Text,,Chili Pepper,Papryka Chili,Pimiento,
YerbaAdditive/65Additive,Text,,Garlic,Czosnek,Ajo,
YerbaAdditive/66Additive,Text,,Guarana,Guarana,Guarana,
YerbaAdditive/67Additive,Text,,Honey,Miód,Miel,
YerbaAdditive/68Additive,Text,,Coffee,Kawa,Café,
YerbaAdditive/69Additive,Text,,Cinnamon,Cynamon,Canela,
YerbaAdditive/6Additive,Text,,Lemon,Cytryna,Limón,
YerbaAdditive/70Additive,Text,,Stevia,Stewia,Stevia,
YerbaAdditive/71Additive,Text,,Tea,Herbata,Té,
YerbaAdditive/72Additive,Text,,Chocolate,Czekolada,Chocolate,
YerbaAdditive/73Additive,Text,,Cactus,Kaktus,Cactus,
YerbaAdditive/74Additive,Text,,Mint,Mięta,Menta,
YerbaAdditive/75Additive,Text,,Ginger,Imbir,Gengibre,
YerbaAdditive/76Additive,Text,,Aloe,Aloes,Aloe Vera,
YerbaAdditive/77Additive,Text,,Hop,Chmiel,Lupulo,
YerbaAdditive/78Additive,Text,,Alga,Alga,Alga,
YerbaAdditive/79Additive,Text,,Bamboo,Bambus,Bambú,
YerbaAdditive/7Additive,Text,,Tangerine,Mandarynka,Mandarina,
YerbaAdditive/80Additive,Text,,Milk,Mleko,Leche,
YerbaAdditive/81Additive,Text,,Pumpkin Seeds,Pestki Dyni,Semillas de Zapallo,
YerbaAdditive/82Additive,Text,,Sunflower Seeds,Pestki Słonecznika,Semillas de Girasol,
YerbaAdditive/83Additive,Text,,Beer,Piwo,Cerveza,
YerbaAdditive/84Additive,Text,,Wine,Wino,Vino,
YerbaAdditive/85Additive,Text,,Walnut,Orzech Włoski,Nuez,
YerbaAdditive/86Additive,Text,,Wheat,Pszenica,Trigo,
YerbaAdditive/87Additive,Text,,Hazelnut,Orzech Laskowy,Avellana,
YerbaAdditive/88Additive,Text,,Pistachio,Pistacja,Pistacho,
YerbaAdditive/89Additive,Text,,Spruce Branch,Świerk,Rama de Abeto,
YerbaAdditive/8Additive,Text,,Orange,Pomarańcza,Naranja,
YerbaAdditive/90Additive,Text,,Oak Leaf,Liść Dębu,Hoja de Roble,
YerbaAdditive/91Additive,Text,,Morel,Smardz,Morchella,
YerbaAdditive/92Additive,Text,,Mold,Pleśń,Moho,
YerbaAdditive/93Additive,Text,,Yeast,Drożdże,Levadura,
YerbaAdditive/94Additive,Text,,Mandrake,Mandragora,Mandrágora,
YerbaAdditive/95Additive,Text,,Hemp,Konopia,Cáñamo,
YerbaAdditive/96Additive,Text,,Lemongrass,Trawa Cytrynowa,Pasto de Limón,
YerbaAdditive/97Additive,Text,,Spices,Przyprawy,Especias,
YerbaAdditive/98Additive,Text,,Rose,Róża,Rosa,
YerbaAdditive/99Additive,Text,,Lavenda,Lawenda,Lavanda,
YerbaAdditive/9Additive,Text,,Grapefruit,Grejpfrut,Pomelo,
